Periodo,Regional,Cod_Dep,Departamento,Tipo,Cod_Mun,Municipio,Remates
01/01/2016 12:00:00 AM,ANDINA,05,ANTIOQUIA,CAPITAL DEPARTAMENTO,05001,MEDELLÍN,36
01/01/2016 12:00:00 AM,ANDINA,05,ANTIOQUIA,RESTO DEPARTAMENTO,,,10
01/01/2016 12:00:00 AM,ANDINA,17,CALDAS,CAPITAL DEPARTAMENTO,17001,MANIZALES,4
01/01/2016 12:00:00 AM,ANDINA,17,CALDAS,RESTO DEPARTAMENTO,,,4
01/01/2016 12:00:00 AM,ANDINA,63,QUINDÍO,CAPITAL DEPARTAMENTO,63001,ARMENIA,4
01/01/2016 12:00:00 AM,ANDINA,63,QUINDÍO,RESTO DEPARTAMENTO,,,1
01/01/2016 12:00:00 AM,ANDINA,66,RISARALDA,CAPITAL DEPARTAMENTO,66001,PEREIRA,7
01/01/2016 12:00:00 AM,ANDINA,66,RISARALDA,RESTO DEPARTAMENTO,,,4
01/01/2016 12:00:00 AM,CARIBE,08,ATLÁNTICO,CAPITAL DEPARTAMENTO,08001,BARRANQUILLA,7
01/01/2016 12:00:00 AM,CARIBE,08,ATLÁNTICO,RESTO DEPARTAMENTO,,,4
01/01/2016 12:00:00 AM,CARIBE,13,BOLÍVAR,CAPITAL DEPARTAMENTO,13001,CARTAGENA DE INDIAS,3
01/01/2016 12:00:00 AM,CARIBE,13,BOLÍVAR,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,CARIBE,20,CESAR,CAPITAL DEPARTAMENTO,20001,VALLEDUPAR,1
01/01/2016 12:00:00 AM,CARIBE,20,CESAR,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,CARIBE,23,CÓRDOBA,CAPITAL DEPARTAMENTO,23001,MONTERÍA,1
01/01/2016 12:00:00 AM,CARIBE,23,CÓRDOBA,RESTO DEPARTAMENTO,,,2
01/01/2016 12:00:00 AM,CARIBE,44,LA GUAJIRA,CAPITAL DEPARTAMENTO,44001,RIOHACHA,0
01/01/2016 12:00:00 AM,CARIBE,44,LA GUAJIRA,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,CARIBE,47,MAGDALENA,CAPITAL DEPARTAMENTO,47001,SANTA MARTA,1
01/01/2016 12:00:00 AM,CARIBE,47,MAGDALENA,RESTO DEPARTAMENTO,,,3
01/01/2016 12:00:00 AM,CARIBE,70,SUCRE,CAPITAL DEPARTAMENTO,70001,SINCELEJO,3
01/01/2016 12:00:00 AM,CARIBE,70,SUCRE,RESTO DEPARTAMENTO,,,3
01/01/2016 12:00:00 AM,CARIBE,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",CAPITAL DEPARTAMENTO,88001,SAN ANDRÉS,0
01/01/2016 12:00:00 AM,CENTRAL,11,"BOGOTÁ, D.C.",CAPITAL DEPARTAMENTO,11001,"BOGOTÁ, D.C.",63
01/01/2016 12:00:00 AM,CENTRAL,15,BOYACÁ,CAPITAL DEPARTAMENTO,15001,TUNJA,1
01/01/2016 12:00:00 AM,CENTRAL,15,BOYACÁ,RESTO DEPARTAMENTO,,,7
01/01/2016 12:00:00 AM,CENTRAL,25,CUNDINAMARCA,RESTO DEPARTAMENTO,,,13
01/01/2016 12:00:00 AM,CENTRAL,41,HUILA,CAPITAL DEPARTAMENTO,41001,NEIVA,3
01/01/2016 12:00:00 AM,CENTRAL,41,HUILA,RESTO DEPARTAMENTO,,,4
01/01/2016 12:00:00 AM,CENTRAL,54,NORTE DE SANTANDER,CAPITAL DEPARTAMENTO,54001,SAN JOSÉ DE CÚCUTA,4
01/01/2016 12:00:00 AM,CENTRAL,54,NORTE DE SANTANDER,RESTO DEPARTAMENTO,,,2
01/01/2016 12:00:00 AM,CENTRAL,68,SANTANDER,CAPITAL DEPARTAMENTO,68001,BUCARAMANGA,6
01/01/2016 12:00:00 AM,CENTRAL,68,SANTANDER,RESTO DEPARTAMENTO,,,6
01/01/2016 12:00:00 AM,CENTRAL,73,TOLIMA,CAPITAL DEPARTAMENTO,73001,IBAGUÉ,0
01/01/2016 12:00:00 AM,CENTRAL,73,TOLIMA,RESTO DEPARTAMENTO,,,3
01/01/2016 12:00:00 AM,ORINOQUIA,18,CAQUETÁ,CAPITAL DEPARTAMENTO,18001,FLORENCIA,1
01/01/2016 12:00:00 AM,ORINOQUIA,18,CAQUETÁ,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,ORINOQUIA,50,META,CAPITAL DEPARTAMENTO,50001,VILLAVICENCIO,0
01/01/2016 12:00:00 AM,ORINOQUIA,50,META,RESTO DEPARTAMENTO,,,2
01/01/2016 12:00:00 AM,ORINOQUIA,81,ARAUCA,CAPITAL DEPARTAMENTO,81001,ARAUCA,0
01/01/2016 12:00:00 AM,ORINOQUIA,85,CASANARE,CAPITAL DEPARTAMENTO,85001,YOPAL,1
01/01/2016 12:00:00 AM,ORINOQUIA,85,CASANARE,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,ORINOQUIA,86,PUTUMAYO,CAPITAL DEPARTAMENTO,86001,MOCOA,0
01/01/2016 12:00:00 AM,ORINOQUIA,86,PUTUMAYO,RESTO DEPARTAMENTO,,,2
01/01/2016 12:00:00 AM,ORINOQUIA,91,AMAZONAS,CAPITAL DEPARTAMENTO,91001,LETICIA,0
01/01/2016 12:00:00 AM,ORINOQUIA,94,GUAINÍA,CAPITAL DEPARTAMENTO,94001,INÍRIDA,0
01/01/2016 12:00:00 AM,ORINOQUIA,95,GUAVIARE,CAPITAL DEPARTAMENTO,95001,SAN JOSÉ DEL GUAVIARE,1
01/01/2016 12:00:00 AM,ORINOQUIA,97,VAUPÉS,CAPITAL DEPARTAMENTO,97001,MITÚ,0
01/01/2016 12:00:00 AM,ORINOQUIA,99,VICHADA,CAPITAL DEPARTAMENTO,99001,PUERTO CARREÑO,0
01/01/2016 12:00:00 AM,PACIFICO,19,CAUCA,CAPITAL DEPARTAMENTO,19001,POPAYÁN,2
01/01/2016 12:00:00 AM,PACIFICO,19,CAUCA,RESTO DEPARTAMENTO,,,1
01/01/2016 12:00:00 AM,PACIFICO,27,CHOCÓ,CAPITAL DEPARTAMENTO,27001,QUIBDÓ,2
01/01/2016 12:00:00 AM,PACIFICO,27,CHOCÓ,RESTO DEPARTAMENTO,,,0
01/01/2016 12:00:00 AM,PACIFICO,52,NARIÑO,CAPITAL DEPARTAMENTO,52001,PASTO,2
01/01/2016 12:00:00 AM,PACIFICO,52,NARIÑO,RESTO DEPARTAMENTO,,,2
01/01/2016 12:00:00 AM,PACIFICO,76,VALLE DEL CAUCA,CAPITAL DEPARTAMENTO,76001,CALI,19
01/01/2016 12:00:00 AM,PACIFICO,76,VALLE DEL CAUCA,RESTO DEPARTAMENTO,,,15
02/01/2016 12:00:00 AM,ANDINA,05,ANTIOQUIA,CAPITAL DEPARTAMENTO,05001,MEDELLÍN,36
02/01/2016 12:00:00 AM,ANDINA,05,ANTIOQUIA,RESTO DEPARTAMENTO,,,11
02/01/2016 12:00:00 AM,ANDINA,17,CALDAS,CAPITAL DEPARTAMENTO,17001,MANIZALES,5
02/01/2016 12:00:00 AM,ANDINA,17,CALDAS,RESTO DEPARTAMENTO,,,2
02/01/2016 12:00:00 AM,ANDINA,63,QUINDÍO,CAPITAL DEPARTAMENTO,63001,ARMENIA,5
02/01/2016 12:00:00 AM,ANDINA,63,QUINDÍO,RESTO DEPARTAMENTO,,,1
02/01/2016 12:00:00 AM,ANDINA,66,RISARALDA,CAPITAL DEPARTAMENTO,66001,PEREIRA,4
02/01/2016 12:00:00 AM,ANDINA,66,RISARALDA,RESTO DEPARTAMENTO,,,4
02/01/2016 12:00:00 AM,CARIBE,08,ATLÁNTICO,CAPITAL DEPARTAMENTO,08001,BARRANQUILLA,7
02/01/2016 12:00:00 AM,CARIBE,08,ATLÁNTICO,RESTO DEPARTAMENTO,,,8
02/01/2016 12:00:00 AM,CARIBE,13,BOLÍVAR,CAPITAL DEPARTAMENTO,13001,CARTAGENA DE INDIAS,6
02/01/2016 12:00:00 AM,CARIBE,13,BOLÍVAR,RESTO DEPARTAMENTO,,,3
